"年月日","都道府県ID","商品ID","数量"
"2016/3/31","16","12","1"
"2016/3/31","17","12","1"
"2016/3/31","18","12","1"
"2016/3/31","20","12","1"
"2016/3/31","21","12","1"
"2016/3/31","22","12","1"
"2016/3/31","23","12","1"
"2016/3/31","25","12","1"
"2016/3/31","27","12","1"
"2016/3/31","28","12","1"
"2016/3/31","30","12","1"
"2016/3/31","32","12","1"
"2016/3/31","35","12","1"
"2016/3/31","36","12","1"
"2016/3/31","37","12","1"
"2016/3/31","38","12","1"
"2016/3/31","42","12","1"
"2016/3/31","43","12","1"
"2016/3/31","46","12","1"
"2016/3/31","47","12","1"
"2016/3/31","2","5","1"
"2016/3/31","8","5","1"
"2016/3/31","26","5","1"
"2016/3/31","34","5","1"
"2016/3/31","39","5","1"
"2016/3/31","41","5","1"
"2016/3/31","45","5","1"
"2017/3/1","39","12","1"
"2017/3/1","40","12","1"
"2017/3/1","41","12","1"
"2017/3/1","45","12","1"
"2017/3/1","2","12","1"
"2017/3/1","6","12","1"
"2017/3/1","8","12","1"
"2017/3/1","11","12","1"
"2017/3/1","12","12","1"
"2017/3/1","15","12","1"
"2017/3/1","16","12","1"
"2017/3/1","19","12","1"
"2017/3/1","27","12","1"
"2017/3/1","28","12","1"
"2017/3/1","29","12","1"
"2017/3/1","31","12","1"
"2017/3/1","40","5","1"
"2017/3/1","44","5","1"
"2017/3/1","45","5","1"
"2017/3/1","46","5","1"
"2017/3/1","47","5","1"
"2017/4/1","2","12","1"
"2017/4/1","8","12","1"
"2017/4/1","11","12","1"
"2017/4/1","26","12","1"
"2017/4/1","31","12","1"
"2017/4/1","34","12","1"
"2017/4/1","39","12","1"
"2017/4/1","41","12","1"
"2017/4/1","44","12","1"
"2017/4/1","45","12","1"
"2017/4/1","2","5","1"
"2017/4/1","4","5","1"
"2017/4/1","6","5","1"
"2017/4/1","11","5","1"
"2017/4/1","12","5","1"
"2017/4/1","14","5","1"
"2017/4/1","15","5","1"
"2017/4/1","17","5","1"
"2017/4/1","18","5","1"
"2017/4/1","19","5","1"
"2017/4/1","20","5","1"
"2017/4/1","21","5","1"
"2017/4/1","23","5","1"
"2017/4/1","24","5","1"
"2017/4/1","25","5","1"
"2017/4/1","26","5","1"
"2017/4/1","27","5","1"
"2017/4/1","28","5","1"
"2017/4/1","29","5","1"
"2017/4/1","31","5","1"
"2017/4/1","34","5","1"
"2017/4/1","36","5","1"
"2017/4/1","37","5","1"
"2017/4/1","39","5","1"
"2017/4/1","40","5","1"
"2017/4/1","41","5","1"
"2017/4/1","42","5","1"
"2017/4/1","44","5","1"
"2017/4/1","46","5","1"
"2017/5/1","8","12","1"
"2017/5/1","11","12","1"
"2017/5/1","12","12","1"
"2017/5/1","4","12","1"
"2017/5/1","7","12","1"
"2017/5/1","8","12","1"
"2017/5/1","11","12","1"
"2017/5/1","12","12","1"
"2017/5/1","15","12","1"
"2017/5/1","16","12","1"
"2017/5/1","17","12","1"
"2017/5/1","19","12","1"
"2017/5/1","20","12","1"
"2017/5/1","23","12","1"
"2017/5/1","24","12","1"
"2017/5/1","26","12","1"
"2017/5/1","27","12","1"
"2017/5/1","28","12","1"
"2017/5/1","29","12","1"
"2017/5/1","31","12","1"
"2017/5/1","34","12","1"
"2017/5/1","36","12","1"
"2017/5/1","37","12","1"
"2017/5/1","39","12","1"
"2017/5/1","41","12","1"
"2017/5/1","42","12","1"
"2017/5/1","44","12","1"
"2017/5/1","45","12","1"
"2017/5/1","46","12","1"
"2017/5/1","47","12","1"
"2017/5/1","24","12","1"
"2017/5/1","26","12","1"
"2017/5/1","27","12","1"
"2017/5/1","29","12","1"
"2017/5/1","31","12","1"
"2017/5/1","34","12","1"
"2017/5/1","39","12","1"
"2017/5/1","41","12","1"
"2017/5/1","44","12","1"
"2017/5/1","45","12","1"
"2017/9/1","23","12","1"
"2017/9/1","24","12","1"
"2017/9/1","25","12","1"
"2017/9/1","27","12","1"
"2017/9/1","28","12","1"
"2017/9/1","29","12","1"
"2017/9/1","30","12","1"
"2017/9/1","31","12","1"
"2017/9/1","33","12","1"
"2017/9/1","35","12","1"
"2017/9/1","36","12","1"
"2017/9/1","37","12","1"
"2017/9/1","38","12","1"
"2017/9/1","40","12","1"
"2017/9/1","42","12","1"
"2017/9/1","44","12","1"
"2017/9/1","46","12","1"
"2017/9/1","1","12","1"
"2017/9/1","3","12","1"
"2017/9/1","4","12","1"
"2017/9/1","6","12","1"
"2017/9/1","7","12","1"
"2017/9/1","10","12","1"
"2017/9/1","11","12","1"
"2017/9/1","12","12","1"
"2017/9/1","13","12","1"
"2017/9/1","15","12","1"
"2017/9/1","16","12","1"
"2017/9/1","17","12","1"
"2017/9/1","18","12","1"
"2017/9/1","19","12","1"
"2017/9/1","20","12","1"
"2017/9/1","21","12","1"
"2017/9/1","22","12","1"
"2017/9/1","26","5","1"
"2017/9/1","27","5","1"
"2017/9/1","28","5","1"
"2017/9/1","29","5","1"
"2017/9/1","31","5","1"
"2017/9/1","34","5","1"
"2017/9/1","39","5","1"
"2017/9/1","40","5","1"
"2017/9/1","41","5","1"
"2017/9/1","44","5","1"
"2017/9/1","45","5","1"
"2017/9/1","8","5","1"
"2017/9/1","11","5","1"
"2017/9/1","12","5","1"
"2017/9/1","15","5","1"
"2017/9/1","17","5","1"
"2017/9/1","19","5","1"
"2017/10/1","1","12","1"
"2017/10/1","4","12","1"
"2017/10/1","6","12","1"
"2017/10/1","7","12","1"
"2017/10/1","12","12","1"
"2017/10/1","14","12","1"
"2017/10/1","15","12","1"
"2017/10/1","16","12","1"
"2017/10/1","17","12","1"
"2017/10/1","18","12","1"
"2017/10/1","19","12","1"
"2017/10/1","20","12","1"
"2017/10/1","21","12","1"
"2017/10/1","24","12","1"
"2017/10/1","26","12","1"
"2017/10/1","27","12","1"
"2017/10/1","28","12","1"
"2017/10/1","29","12","1"
"2017/10/1","29","12","1"
"2017/10/1","29","12","1"
"2017/10/1","31","12","1"
"2017/10/1","35","12","1"
"2017/10/1","36","12","1"
"2017/10/1","37","12","1"
"2017/10/1","39","12","1"
"2017/10/1","40","12","1"
"2017/10/1","42","12","1"
"2017/10/1","44","12","1"
"2017/10/1","45","12","1"
"2017/10/1","46","12","1"
"2017/10/1","47","12","1"
"2017/10/1","2","5","1"
"2017/10/1","4","5","1"
"2017/10/1","7","5","1"
"2017/10/1","8","5","1"
"2017/10/1","11","5","1"
"2017/10/1","12","5","1"
"2017/10/1","15","5","1"
"2017/10/1","16","5","1"
"2017/10/1","18","5","1"
"2017/10/1","19","5","1"
"2017/10/1","24","5","1"
"2017/10/1","26","5","1"
"2017/10/1","27","5","1"
"2017/10/1","28","5","1"
"2017/10/1","29","5","1"
"2017/10/1","31","5","1"
"2017/10/1","34","5","1"
"2017/10/1","36","5","1"
"2017/10/1","37","5","1"
"2017/10/1","39","5","1"
"2017/10/1","40","5","1"
"2017/10/1","41","5","1"
"2017/10/1","44","5","1"
"2017/10/1","45","5","1"
"2016/5/31","1","12","1"
"2016/5/31","4","12","1"
"2016/5/31","6","12","1"
"2016/5/31","7","12","1"
"2016/5/31","12","12","1"
"2016/5/31","14","12","1"
"2016/5/31","15","12","1"
"2016/5/31","16","12","1"
"2016/5/31","17","12","1"
"2016/5/31","18","12","1"
"2016/5/31","19","12","1"
"2016/5/31","20","12","1"
"2016/5/31","21","12","1"
"2016/5/31","24","12","1"
"2016/5/31","26","12","1"
"2016/5/31","27","12","1"
"2016/5/31","28","12","1"
"2016/5/31","29","12","1"
"2016/5/31","29","12","1"
"2016/5/31","29","12","1"
"2016/5/31","31","12","1"
"2016/5/31","35","12","1"
"2016/5/31","36","12","1"
"2016/5/31","37","12","1"
"2016/5/31","39","12","1"
"2016/5/31","40","12","1"
"2016/5/31","42","12","1"
"2016/5/31","44","12","1"
"2016/5/31","45","12","1"
"2016/5/31","46","12","1"
"2016/5/31","47","12","1"
"2016/5/31","2","5","1"
"2016/5/31","4","5","1"
"2016/5/31","7","5","1"
"2016/5/31","8","5","1"
"2016/5/31","11","5","1"
"2016/5/31","12","5","1"
"2016/5/31","15","5","1"
"2016/5/31","16","5","1"
"2016/5/31","18","5","1"
"2016/5/31","19","5","1"
"2016/5/31","24","5","1"
"2016/5/31","26","5","1"
"2016/5/31","27","5","1"
"2016/5/31","28","5","1"
"2016/5/31","29","5","1"
"2016/5/31","31","5","1"
"2016/5/31","34","5","1"
"2016/5/31","36","5","1"
"2016/5/31","37","5","1"
"2016/5/31","39","5","1"
"2016/5/31","40","5","1"
"2016/5/31","41","5","1"
"2016/5/31","44","5","1"
"2016/5/31","45","5","1"
"2017/11/1","4","12","1"
"2017/11/1","7","12","1"
"2017/11/1","8","12","1"
"2017/11/1","11","12","1"
"2017/11/1","12","12","1"
"2017/11/1","15","12","1"
"2017/11/1","16","12","1"
"2017/11/1","17","12","1"
"2017/11/1","19","12","1"
"2017/11/1","20","12","1"
"2017/11/1","23","12","1"
"2017/11/1","24","12","1"
"2017/11/1","26","12","1"
"2017/11/1","27","12","1"
"2017/11/1","28","12","1"
"2017/11/1","29","12","1"
"2017/11/1","31","12","1"
"2017/11/1","34","12","1"
"2017/11/1","36","12","1"
"2017/11/1","37","12","1"
"2017/11/1","39","12","1"
"2017/11/1","41","12","1"
"2017/11/1","42","12","1"
"2017/11/1","44","12","1"
"2017/11/1","45","12","1"
"2017/11/1","46","12","1"
"2017/11/1","47","12","1"
"2017/11/1","1","5","1"
"2017/11/1","2","5","1"
"2017/11/1","4","5","1"
"2017/11/1","7","5","1"
"2017/11/1","8","5","1"
"2017/11/1","11","5","1"
"2017/11/1","12","5","1"
"2017/11/1","15","5","1"
"2017/11/1","16","5","1"
"2017/11/1","17","5","1"
"2017/11/1","19","5","1"
"2017/11/1","21","5","1"
"2017/11/1","23","5","1"
"2017/11/1","24","5","1"
"2017/11/1","26","5","1"
"2017/11/1","27","5","1"
"2017/11/1","28","5","1"
"2017/11/1","29","5","1"
"2017/11/1","31","5","1"
"2017/11/1","33","5","1"
"2017/11/1","34","5","1"
"2017/11/1","36","5","1"
"2017/11/1","37","5","1"
"2017/11/1","39","5","1"
"2017/11/1","40","5","1"
"2017/11/1","41","5","1"
"2017/11/1","42","5","1"
"2017/11/1","44","5","1"
"2017/11/1","46","5","1"
"2017/11/1","47","5","1"
"2016/6/30","1","12","1"
"2016/6/30","3","12","1"
"2016/6/30","4","12","1"
"2016/6/30","6","12","1"
"2016/6/30","7","12","1"
"2016/6/30","11","12","1"
"2016/6/30","12","12","1"
"2016/6/30","14","12","1"
"2016/6/30","15","12","1"
"2016/6/30","16","12","1"
"2016/6/30","17","12","1"
"2016/6/30","18","12","1"
"2016/6/30","19","12","1"
"2016/6/30","20","12","1"
"2016/6/30","21","12","1"
"2016/6/30","23","12","1"
"2016/6/30","24","12","1"
"2016/6/30","25","12","1"
"2016/6/30","26","12","1"
"2016/6/30","27","12","1"
"2016/6/30","28","12","1"
"2016/6/30","29","12","1"
"2016/6/30","34","12","1"
"2016/6/30","35","12","1"
"2016/6/30","36","12","1"
"2016/6/30","37","12","1"
"2016/6/30","38","12","1"
"2016/6/30","39","12","1"
"2016/6/30","40","12","1"
"2016/6/30","42","12","1"
"2016/6/30","44","12","1"
"2016/6/30","46","12","1"
"2016/6/30","47","12","1"
"2016/6/30","1","5","1"
"2016/6/30","3","5","1"
"2016/6/30","4","5","1"
"2016/6/30","6","5","1"
"2016/6/30","7","5","1"
"2016/6/30","10","5","1"
"2016/6/30","11","5","1"
"2016/6/30","12","5","1"
"2016/6/30","13","5","1"
"2016/6/30","14","5","1"
"2016/6/30","15","5","1"
"2016/6/30","16","5","1"
"2016/6/30","17","5","1"
"2016/6/30","18","5","1"
"2016/6/30","20","5","1"
"2016/6/30","21","5","1"
"2016/6/30","22","5","1"
"2016/6/30","23","5","1"
"2016/6/30","24","5","1"
"2016/6/30","25","5","1"
"2016/6/30","27","5","1"
"2016/6/30","28","5","1"
"2016/6/30","29","5","1"
"2016/6/30","30","5","1"
"2016/6/30","33","5","1"
"2016/6/30","35","5","1"
"2016/6/30","36","5","1"
"2016/6/30","37","5","1"
"2016/6/30","38","5","1"
"2016/6/30","40","5","1"
"2016/6/30","41","5","1"
"2016/6/30","42","5","1"
"2016/6/30","46","5","1"
"2016/6/30","47","5","1"
"2017/12/1","1","12","1"
"2017/12/1","3","12","1"
"2017/12/1","4","12","1"
"2017/12/1","6","12","1"
"2017/12/1","7","12","1"
"2017/12/1","11","12","1"
"2017/12/1","12","12","1"
"2017/12/1","14","12","1"
"2017/12/1","15","12","1"
"2017/12/1","16","12","1"
"2017/12/1","17","12","1"
"2017/12/1","18","12","1"
"2017/12/1","19","12","1"
"2017/12/1","20","12","1"
"2017/12/1","21","12","1"
"2017/12/1","23","12","1"
"2017/12/1","24","12","1"
"2017/12/1","25","12","1"
"2017/12/1","26","12","1"
"2017/12/1","27","12","1"
"2017/12/1","28","12","1"
"2017/12/1","29","12","1"
"2017/12/1","34","12","1"
"2017/12/1","35","12","1"
"2017/12/1","36","12","1"
"2017/12/1","37","12","1"
"2017/12/1","38","12","1"
"2017/12/1","39","12","1"
"2017/12/1","40","12","1"
"2017/12/1","42","12","1"
"2017/12/1","44","12","1"
"2017/12/1","46","12","1"
"2017/12/1","47","12","1"
"2017/12/1","1","5","1"
"2017/12/1","3","5","1"
"2017/12/1","4","5","1"
"2017/12/1","6","5","1"
"2017/12/1","7","5","1"
"2017/12/1","10","5","1"
"2017/12/1","11","5","1"
"2017/12/1","12","5","1"
"2017/12/1","13","5","1"
"2017/12/1","14","5","1"
"2017/12/1","15","5","1"
"2017/12/1","16","5","1"
"2017/12/1","17","5","1"
"2017/12/1","18","5","1"
"2017/12/1","20","5","1"
"2017/12/1","21","5","1"
"2017/12/1","22","5","1"
"2017/12/1","23","5","1"
"2017/12/1","24","5","1"
"2017/12/1","25","5","1"
"2017/12/1","27","5","1"
"2017/12/1","28","5","1"
"2017/12/1","29","5","1"
"2017/12/1","30","5","1"
"2017/12/1","33","5","1"
"2017/12/1","35","5","1"
"2017/12/1","36","5","1"
"2017/12/1","37","5","1"
"2017/12/1","38","5","1"
"2017/12/1","40","5","1"
"2017/12/1","41","5","1"
"2017/12/1","42","5","1"
"2017/12/1","46","5","1"
"2017/12/1","47","5","1"
"2016/7/31","1","12","1"
"2016/7/31","3","12","1"
"2016/7/31","4","12","1"
"2016/7/31","5","12","1"
"2016/7/31","6","12","1"
"2016/7/31","7","12","1"
"2016/7/31","8","12","1"
"2016/7/31","9","12","1"
"2016/7/31","10","12","1"
"2016/7/31","12","12","1"
"2016/7/31","13","12","1"
"2016/7/31","14","12","1"
"2016/7/31","15","12","1"
"2016/7/31","16","12","1"
"2016/7/31","17","12","1"
"2016/7/31","18","12","1"
"2016/7/31","20","12","1"
"2016/7/31","21","12","1"
"2016/7/31","22","12","1"
"2016/7/31","23","12","1"
"2016/7/31","25","12","1"
"2016/7/31","27","12","1"
"2016/7/31","28","12","1"
"2016/7/31","30","12","1"
"2016/7/31","32","12","1"
"2016/7/31","35","12","1"
"2016/7/31","36","12","1"
"2016/7/31","37","12","1"
"2016/7/31","38","12","1"
"2016/7/31","42","12","1"
"2016/7/31","43","12","1"
"2016/7/31","46","12","1"
"2016/7/31","47","12","1"
"2016/7/31","2","5","1"
"2016/7/31","8","5","1"
"2016/7/31","26","5","1"
"2016/7/31","34","5","1"
"2016/7/31","39","5","1"
"2016/7/31","41","5","1"
"2016/7/31","45","5","1"
"2018/1/1","2","12","1"
"2018/1/1","3","12","1"
"2018/1/1","4","12","1"
"2018/1/1","7","12","1"
"2018/1/1","8","12","1"
"2018/1/1","10","12","1"
"2018/1/1","11","12","1"
"2018/1/1","12","12","1"
"2018/1/1","14","12","1"
"2018/1/1","15","12","1"
"2018/1/1","16","12","1"
"2018/1/1","17","12","1"
"2018/1/1","18","12","1"
"2018/1/1","19","12","1"
"2018/1/1","20","12","1"
"2018/1/1","24","12","1"
"2018/1/1","26","12","1"
"2018/1/1","27","12","1"
"2018/1/1","29","12","1"
"2018/1/1","30","12","1"
"2018/1/1","31","12","1"
"2018/1/1","34","12","1"
"2018/1/1","36","12","1"
"2018/1/1","37","12","1"
"2018/1/1","40","12","1"
"2018/1/1","41","12","1"
"2018/1/1","42","12","1"
"2018/1/1","44","12","1"
"2018/1/1","46","12","1"
"2018/1/1","47","12","1"
"2016/8/31","4","12","1"
"2016/8/31","7","12","1"
"2016/8/31","8","12","1"
"2016/8/31","11","12","1"
"2016/8/31","12","12","1"
"2016/8/31","15","12","1"
"2016/8/31","16","12","1"
"2016/8/31","17","12","1"
"2016/8/31","19","12","1"
"2016/8/31","20","12","1"
"2016/8/31","23","12","1"
"2016/8/31","24","12","1"
"2016/8/31","26","12","1"
"2016/8/31","27","12","1"
"2016/8/31","28","12","1"
"2016/8/31","29","12","1"
"2016/8/31","31","12","1"
"2016/8/31","34","12","1"
"2016/8/31","36","12","1"
"2016/8/31","37","12","1"
"2016/8/31","39","12","1"
"2016/8/31","41","12","1"
"2016/8/31","42","12","1"
"2016/8/31","44","12","1"
"2016/8/31","45","12","1"
"2016/8/31","46","12","1"
"2016/8/31","47","12","1"
"2016/8/31","1","5","1"
"2016/8/31","2","5","1"
"2016/8/31","4","5","1"
"2016/8/31","7","5","1"
"2016/8/31","8","5","1"
"2016/8/31","11","5","1"
"2016/8/31","12","5","1"
"2016/8/31","15","5","1"
"2016/8/31","16","5","1"
"2016/8/31","17","5","1"
"2016/8/31","19","5","1"
"2016/8/31","21","5","1"
"2016/8/31","23","5","1"
"2016/8/31","24","5","1"
"2016/8/31","26","5","1"
"2016/8/31","27","5","1"
"2016/8/31","28","5","1"
"2016/8/31","29","5","1"
"2016/8/31","31","5","1"
"2016/8/31","33","5","1"
"2016/8/31","34","5","1"
"2016/9/30","1","12","1"
"2016/9/30","3","12","1"
"2016/9/30","6","12","1"
"2016/9/30","7","12","1"
"2016/9/30","8","12","1"
"2016/9/30","9","12","1"
"2016/9/30","10","12","1"
"2016/9/30","13","12","1"
"2016/9/30","14","12","1"
"2016/9/30","15","12","1"
"2016/9/30","17","12","1"
"2016/9/30","18","12","1"
"2016/9/30","20","12","1"
"2016/9/30","25","12","1"
"2016/9/30","27","12","1"
"2016/9/30","28","12","1"
"2016/9/30","30","12","1"
"2016/9/30","32","12","1"
"2016/9/30","33","12","1"
"2016/9/30","35","12","1"
"2016/9/30","37","12","1"
"2016/9/30","38","12","1"
"2016/9/30","40","12","1"
"2016/9/30","42","12","1"
"2016/9/30","43","12","1"
"2016/9/30","44","12","1"
"2016/9/30","46","12","1"
"2016/10/31","4","12","1"
"2016/10/31","7","12","1"
"2016/10/31","8","12","1"
"2016/10/31","11","12","1"
"2016/10/31","12","12","1"
"2016/10/31","15","12","1"
"2016/10/31","16","12","1"
"2016/10/31","17","12","1"
"2016/10/31","19","12","1"
"2016/10/31","20","12","1"
"2016/10/31","23","12","1"
"2016/10/31","24","12","1"
"2016/10/31","26","12","1"
"2016/10/31","27","12","1"
"2016/10/31","28","12","1"
"2016/10/31","29","12","1"
"2016/10/31","31","12","1"
"2016/10/31","34","12","1"
"2016/10/31","36","12","1"
"2016/10/31","37","12","1"
"2016/10/31","39","12","1"
"2016/10/31","41","12","1"
"2016/10/31","42","12","1"
"2016/10/31","44","12","1"
"2016/10/31","45","12","1"
"2016/10/31","46","12","1"
"2016/10/31","47","12","1"
"2016/11/30","1","12","1"
"2016/11/30","4","12","1"
"2016/11/30","6","12","1"
"2016/11/30","7","12","1"
"2016/11/30","12","12","1"
"2016/11/30","14","12","1"
"2016/11/30","15","12","1"
"2016/11/30","16","12","1"
"2016/11/30","17","12","1"
"2016/11/30","18","12","1"
"2016/11/30","19","12","1"
"2016/11/30","20","12","1"
"2016/11/30","21","12","1"
"2016/11/30","24","12","1"
"2016/11/30","26","12","1"
"2016/11/30","27","12","1"
"2016/11/30","28","12","1"
"2016/11/30","29","12","1"
"2016/11/30","29","12","1"
"2016/11/30","29","12","1"
"2016/11/30","35","12","1"
"2016/11/30","36","12","1"
"2016/11/30","37","12","1"
"2016/11/30","39","12","1"
"2016/11/30","40","12","1"
"2016/11/30","42","12","1"
"2016/11/30","45","12","1"
"2016/11/30","46","12","1"
"2018/3/1","26","12","1"
"2018/3/1","28","12","1"
"2018/3/1","29","12","1"
"2018/3/1","34","12","1"
"2018/3/1","39","12","1"
"2018/3/1","41","12","1"
"2018/3/1","45","12","1"
"2018/3/1","2","12","1"
"2018/3/1","26","5","1"
"2018/3/1","34","5","1"
"2018/3/1","39","5","1"
"2018/3/1","41","5","1"
"2018/3/1","45","5","1"
"2018/4/1","2","12","1"
"2018/4/1","19","12","1"
"2018/4/1","34","12","1"
"2018/4/1","41","12","1"
"2018/4/1","45","12","1"
"2018/4/1","2","5","1"
"2018/4/1","8","5","1"
"2018/4/1","19","5","1"
"2017/6/1","1","12","1"
"2017/6/1","3","12","1"
"2017/6/1","4","12","1"
"2017/6/1","6","12","1"
"2017/6/1","7","12","1"
"2017/6/1","8","12","1"
"2017/6/1","10","12","1"
"2017/6/1","11","12","1"
"2017/6/1","13","12","1"
"2017/6/1","14","12","1"
"2017/6/1","15","12","1"
"2017/6/1","16","12","1"
"2017/6/1","17","12","1"
"2017/6/1","18","12","1"
"2017/6/1","19","12","1"
"2017/6/1","20","12","1"
"2017/6/1","21","12","1"
"2017/6/1","23","12","1"
"2017/6/1","24","12","1"
"2017/6/1","25","12","1"
"2017/6/1","28","12","1"
"2017/6/1","29","12","1"
"2017/6/1","30","12","1"
"2017/6/1","31","12","1"
"2017/6/1","33","12","1"
"2017/6/1","34","12","1"
"2017/6/1","36","12","1"
"2017/6/1","37","12","1"
"2017/6/1","38","12","1"
"2017/6/1","40","12","1"
"2017/6/1","42","12","1"
"2017/6/1","44","12","1"
"2017/6/1","45","12","1"
"2017/6/1","46","12","1"
"2017/6/1","47","12","1"
"2017/6/1","1","5","1"
"2017/6/1","3","5","1"
"2017/6/1","4","5","1"
"2017/6/1","6","5","1"
"2017/6/1","7","5","1"
"2017/6/1","10","5","1"
"2017/6/1","11","5","1"
"2017/6/1","12","5","1"
"2017/6/1","14","5","1"
"2017/6/1","15","5","1"
"2017/6/1","16","5","1"
"2017/6/1","17","5","1"
"2017/6/1","18","5","1"
"2017/6/1","19","5","1"
"2017/6/1","21","5","1"
"2017/6/1","23","5","1"
"2017/6/1","24","5","1"
"2017/6/1","25","5","1"
"2017/6/1","26","5","1"
"2017/6/1","27","5","1"
"2017/6/1","28","5","1"
"2017/6/1","29","5","1"
"2017/6/1","30","5","1"
"2017/6/1","31","5","1"
"2017/6/1","33","5","1"
"2017/6/1","35","5","1"
